               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.065181,            0.078694,            0.016781,             0.58871,             0.59056,             0.61548,             0.32349,            0.042997,            0.074907,           0.0087488,            0.070018,           0.0033313,           0.0033313
                   1,            0.048418,            0.073396,           0.0081761,             0.76354,             0.71333,             0.77213,             0.46065,            0.037477,            0.070882,           0.0062863,            0.039798,           0.0064447,           0.0064447
                   2,            0.043322,             0.07101,           0.0063819,             0.79045,             0.75345,             0.82202,              0.5047,            0.035594,            0.069148,           0.0053864,           0.0093584,           0.0093381,           0.0093381
                   3,            0.039629,            0.069072,           0.0053692,             0.84047,             0.78589,             0.85714,              0.5497,            0.033434,            0.066132,           0.0042876,             0.00901,             0.00901,             0.00901
                   4,            0.036939,            0.066931,           0.0046693,             0.83033,              0.8131,             0.87391,               0.565,            0.032554,             0.06557,            0.004011,             0.00901,             0.00901,             0.00901
                   5,            0.035464,            0.065433,           0.0043414,             0.84047,             0.81694,             0.87977,             0.57631,            0.031987,            0.065028,           0.0036936,             0.00868,             0.00868,             0.00868
                   6,            0.034475,            0.064848,             0.00401,             0.84466,             0.80842,             0.88488,             0.58674,            0.031699,            0.063985,           0.0035108,             0.00835,             0.00835,             0.00835
                   7,            0.033892,             0.06386,           0.0039034,             0.84916,             0.82713,             0.88374,             0.58736,            0.031182,            0.063596,           0.0034905,             0.00802,             0.00802,             0.00802
                   8,            0.033485,            0.063002,           0.0037463,             0.85552,             0.84474,             0.90036,             0.60377,            0.030944,            0.062777,           0.0031155,             0.00769,             0.00769,             0.00769
                   9,            0.033219,            0.062472,           0.0036303,              0.8583,             0.83388,             0.89811,             0.60591,            0.030796,            0.062757,           0.0031908,             0.00736,             0.00736,             0.00736
                  10,            0.032796,            0.062311,           0.0035089,              0.8557,             0.83408,             0.89516,             0.60342,            0.030619,            0.062551,           0.0032851,             0.00703,             0.00703,             0.00703
                  11,            0.032471,            0.062084,           0.0034672,             0.85317,             0.83657,             0.89678,             0.60874,            0.030342,            0.062275,           0.0031516,              0.0067,              0.0067,              0.0067
                  12,            0.032259,            0.061607,           0.0033981,             0.85734,             0.84538,             0.90444,              0.6182,             0.03014,            0.061694,            0.002946,             0.00637,             0.00637,             0.00637
                  13,            0.031996,            0.061496,           0.0033048,             0.85691,             0.84616,             0.90359,             0.61883,            0.030026,            0.061423,           0.0030098,             0.00604,             0.00604,             0.00604
                  14,            0.031647,            0.061011,           0.0032286,             0.85523,              0.8554,               0.908,             0.62025,            0.029933,             0.06139,           0.0029014,             0.00571,             0.00571,             0.00571
                  15,            0.031577,            0.061134,           0.0031912,              0.8536,             0.85408,              0.9064,             0.62417,            0.029787,            0.061153,           0.0029112,             0.00538,             0.00538,             0.00538
                  16,            0.031292,            0.060145,           0.0031171,             0.86153,             0.85529,             0.90953,             0.62799,            0.029674,             0.06106,           0.0028675,             0.00505,             0.00505,             0.00505
                  17,            0.031098,            0.060301,            0.003057,              0.8581,             0.86225,             0.90974,             0.62702,            0.029654,            0.061118,           0.0028301,             0.00472,             0.00472,             0.00472
                  18,            0.030937,            0.059507,            0.003038,             0.85386,             0.86372,             0.90991,             0.62903,            0.029541,            0.060905,           0.0027796,             0.00439,             0.00439,             0.00439
                  19,            0.030721,            0.059641,           0.0030398,             0.86193,             0.86484,             0.91025,                0.63,             0.02947,            0.060755,           0.0027183,             0.00406,             0.00406,             0.00406
